City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Merzifon,0,TR,1553302200,86,40.87,35.46,30.2,2.51
Komsomolskiy,88,RU,1553304939,82,67.55,63.78,18.59,2.95
Katsuura,75,JP,1553304221,46,33.93,134.5,50.0,13.87
Seka,64,ET,1553305233,94,7.6,36.72,55.13,2.51
La Ronge,5,CA,1553302800,88,55.1,-105.3,50.0,3.36
Carballo,0,ES,1553305204,100,43.21,-8.69,52.0,6.93
Labytnangi,80,RU,1553305233,82,66.66,66.39,18.95,2.95
Portland,90,US,1553304682,81,45.52,-122.67,55.99,6.93
Deputatskiy,0,RU,1553305233,77,69.3,139.9,-5.36,3.74
Ribeira Grande,92,PT,1553305234,99,38.52,-28.7,60.8,12.68
Lagoa,0,PT,1553305050,76,37.14,-8.45,57.99,8.05
Waitati,48,NZ,1553304753,72,-45.75,170.57,66.0,13.0
Murgab,75,TM,1553302800,87,37.5,61.97,42.8,9.17
Praia da Vitoria,40,PT,1553304711,82,38.73,-27.07,60.8,19.39
Samarinda,36,ID,1553305235,72,-0.5,117.14,87.17,2.95
Baruun-Urt,0,MN,1553305235,43,46.68,113.28,30.11,15.82
Mangrol,0,IN,1553305235,32,25.33,76.51,71.42,6.42
Katastarion,0,GR,1553304655,65,37.83,20.77,55.0,12.12
Olinda,75,EC,1553303836,70,-2.03,-79.75,84.2,2.24
Nytva,90,RU,1553302800,100,57.94,55.33,30.2,6.71
Kasongo-Lunda,76,CD,1553305235,95,-6.48,16.82,68.45,2.51
Bushehr,40,IR,1553302800,68,28.97,50.84,66.2,6.93
Dunedin,48,NZ,1553304753,72,-45.87,170.5,66.0,13.0
Dalaba,68,GN,1553305236,78,10.69,-12.25,70.43,2.39
Srednekolymsk,8,RU,1553305236,63,67.46,153.71,17.33,4.52
Huarmey,8,PE,1553305061,79,-10.07,-78.15,65.57,3.18
Gat,56,SN,1553302800,88,14.69,-16.54,66.2,11.41
Mattru,64,SL,1553305236,84,7.62,-11.83,78.26,2.95
Kushima,75,JP,1553304786,47,31.5,131.29,55.4,9.17
Green River,1,US,1553302440,64,41.53,-109.47,35.6,9.17
Cururupu,100,BR,1553305237,92,-1.82,-44.87,77.63,3.96
Lexington,1,US,1553305205,45,38.05,-84.5,44.6,6.93
Ukiah,90,US,1553304981,81,39.15,-123.21,55.0,4.7
Vagur,48,FO,1553305237,100,61.47,-6.81,44.33,51.16
Shahreza,0,IR,1553305237,58,32.01,51.87,13.01,2.62
Dalhousie,76,IN,1553305238,43,32.54,75.98,45.5,2.06
Sonamura,20,IN,1553302800,94,23.47,91.27,69.8,4.29
Batemans Bay,56,AU,1553305168,82,-35.71,150.18,77.0,14.0
Ilulissat,0,GL,1553302200,42,69.22,-51.1,-11.21,6.93
Khatanga,12,RU,1553305065,79,71.98,102.47,-12.56,9.66
Bonthe,44,SL,1553305238,89,7.53,-12.5,79.7,4.97
Lahij,76,YE,1553305238,93,13.06,44.88,69.08,3.62
Gupitan,0,PH,1553305238,59,7.78,125.64,81.95,3.4
Camacha,40,PT,1553302800,63,33.08,-16.33,60.8,12.75
Zabaykalsk,0,CN,1553305239,32,49.64,117.33,29.75,13.24
Salalah,75,OM,1553302200,74,17.01,54.1,78.8,6.93
Nanortalik,48,GL,1553305239,96,60.14,-45.24,31.82,29.46
Grindavik,90,IS,1553304698,92,63.84,-22.43,30.99,36.91
Sorland,92,NO,1553304959,100,67.67,12.69,38.03,33.38
Yar-Sale,76,RU,1553305091,89,66.83,70.83,20.75,9.1
Atuona,32,PF,1553305425,99,-9.8,-139.03,82.58,15.82
Machinga,56,MW,1553305239,100,-15.18,35.3,67.28,3.06
Dalnerechensk,76,RU,1553305240,61,45.93,133.72,25.79,4.97
Erenhot,0,CN,1553305240,46,43.65,111.97,33.08,14.58
Vestmannaeyjar,0,IS,1553305240,92,63.44,-20.27,36.95,30.91
Leua,20,AO,1553305240,76,-11.65,20.45,65.93,2.28
Benidorm,40,ES,1553304979,58,38.54,-0.13,57.99,2.24
Slave Lake,1,CA,1553302800,56,55.28,-114.77,42.8,3.36
Fort Nelson,20,CA,1553302800,26,58.81,-122.69,60.8,2.24
Bosaso,12,SO,1553305069,100,11.28,49.18,74.93,10.22
Vila Velha,56,BR,1553304517,100,-3.71,-38.6,81.0,1.01
Hun,75,BE,1553305240,100,50.34,4.87,48.0,6.93
Manama,20,AE,1553305154,53,25.33,56.02,78.01,6.93
Kruisfontein,32,ZA,1553305241,86,-34.0,24.73,64.85,8.43
Filadelfia,100,PY,1553305241,76,-22.35,-60.04,75.2,6.31
Hovd,75,NO,1553305215,86,63.83,10.7,43.0,6.93
Jaunjelgava,8,LV,1553305165,95,56.62,25.08,27.0,2.84
Lata,20,IN,1553305242,55,30.78,78.62,45.05,2.17
Omsukchan,36,RU,1553305242,80,62.53,155.8,18.68,6.2
Lorengau,44,PG,1553305242,97,-2.02,147.27,83.48,10.0
Nuevo Progreso,90,US,1553305239,64,26.05,-97.95,73.4,16.11
Nichinan,75,JP,1553304786,47,31.65,131.31,55.4,9.17
Sambava,68,MG,1553305242,100,-14.27,50.17,81.23,12.8
Poquoson,1,US,1553305208,65,37.12,-76.35,48.99,17.22
Caramay,12,PH,1553305243,90,10.18,119.24,83.66,13.8
Noumea,44,NC,1553302800,58,-22.28,166.46,87.8,5.82
Nenjiang,0,CN,1553305243,32,49.17,125.23,26.51,8.66
Carutapera,92,BR,1553304930,91,-1.2,-46.02,78.71,6.08
Brewster,90,US,1553305083,70,41.76,-70.08,43.0,12.75
Bathsheba,40,BB,1553302800,78,13.22,-59.52,78.8,19.46
Vilhena,80,BR,1553305228,96,-12.74,-60.15,70.97,2.17
Esperance,75,TT,1553304906,88,10.24,-61.45,80.01,5.82
Sinnamary,92,GF,1553305243,94,5.38,-52.96,79.88,13.69
Bintulu,75,MY,1553302800,83,3.17,113.03,84.2,3.36
Inhambane,8,MZ,1553305244,100,-23.87,35.38,74.57,8.77
Magnor,90,SE,1553305204,93,59.95,12.2,42.01,9.17
Plouzane,90,FR,1553305087,93,48.38,-4.62,46.99,4.7
Paamiut,8,GL,1553304989,100,61.99,-49.67,19.85,23.87
Mount Gambier,75,AU,1553302800,68,-37.83,140.78,69.8,16.11
Itarema,44,BR,1553305244,100,-2.92,-39.92,74.21,2.17
Roald,48,NO,1553305204,93,62.58,6.12,42.8,40.26
Ust-Maya,0,RU,1553305244,51,60.42,134.54,7.52,3.74
Touros,20,BR,1553302800,88,-5.2,-35.46,80.6,3.36
Xining,0,CN,1553305245,57,36.62,101.77,32.63,1.16
Udachnyy,44,RU,1553305245,56,66.42,112.4,1.58,7.99
Buin,0,CL,1553305146,35,-33.73,-70.74,78.01,8.05
Victoria,75,BN,1553302800,83,5.28,115.24,82.4,4.41
Tocopilla,0,CL,1553305207,100,-22.09,-70.2,59.72,0.83
Namtsy,0,RU,1553302800,64,62.72,129.66,-2.21,2.24
Kiruna,48,SE,1553302200,81,67.86,20.23,32.0,19.46
Fortuna,40,ES,1553304933,58,38.18,-1.13,59.0,2.24
Sankheda,0,IN,1553302800,68,22.21,73.58,66.2,4.7
Nelson Bay,0,AU,1553305243,57,-32.72,152.14,82.0,5.82
Dongsheng,92,CN,1553305246,82,29.72,112.52,54.5,4.63
Lasa,0,CY,1553304696,66,34.92,32.53,53.6,10.29
Progress,0,RU,1553305247,42,49.74,129.68,22.55,8.55
Lakes Entrance,76,AU,1553304607,60,-37.88,147.99,72.0,5.99
Srivardhan,0,IN,1553305247,81,18.03,73.02,75.92,5.41
Aasiaat,12,GL,1553305247,100,68.71,-52.87,-8.6,2.73
Awbari,32,LY,1553305247,38,26.59,12.77,45.77,2.95
Mokhsogollokh,56,RU,1553305247,65,61.4,128.95,14.18,5.86
Katobu,0,ID,1553305247,91,-4.94,122.53,85.01,3.96
Riyadh,0,SA,1553302800,55,24.63,46.72,62.6,3.36
Abeche,0,TD,1553305248,30,13.83,20.83,68.81,5.64
Mundo Nuevo,0,CL,1553302800,93,-32.72,-71.41,55.4,6.93
Teya,5,MX,1553304706,53,21.05,-89.07,75.2,4.7
Tarauaca,48,BR,1553305248,96,-8.16,-70.77,72.95,1.72
Adrar,0,DZ,1553302800,38,27.87,-0.29,59.0,6.93
Rocha,56,UY,1553305248,92,-34.48,-54.34,56.12,2.95
Phan Thiet,24,VN,1553305205,80,10.93,108.1,85.1,8.43
Lavrentiya,92,RU,1553305248,100,65.58,-170.99,15.8,19.06
Palmer,40,AU,1553305243,68,-34.85,139.16,78.01,9.17
Coquimbo,90,CL,1553302800,87,-29.95,-71.34,57.2,4.7
Atambua,0,ID,1553305249,90,-9.11,124.89,84.83,11.68
Pangkalanbuun,20,ID,1553305131,86,-2.68,111.62,85.82,5.64
Santiago del Estero,92,AR,1553305249,73,-27.8,-64.26,69.53,4.63
The Pas,1,CA,1553302800,45,53.82,-101.24,48.2,8.05
Smolenka,0,PL,1553304602,94,54.15,22.76,30.0,2.95
Port Blair,0,IN,1553305250,100,11.67,92.75,82.58,7.87
Tura,36,IN,1553305250,81,25.52,90.21,69.08,4.29
Amazar,20,RU,1553305250,38,53.86,120.88,25.25,3.96
Miraflores,36,CO,1553305250,100,5.2,-73.14,49.46,0.38
Avera,1,US,1553305106,30,33.19,-82.53,64.4,6.93
Tuatapere,48,NZ,1553305251,70,-46.13,167.69,67.28,4.52
Leh,36,IN,1553305251,78,34.16,77.58,-6.53,1.95
Waipawa,8,NZ,1553305097,65,-39.94,176.59,70.0,1.01
Shelburne,90,CA,1553305217,68,44.08,-80.2,28.4,20.8
Bud,80,NO,1553304670,93,62.91,6.91,42.8,40.26
Severo-Kurilsk,88,RU,1553305252,95,50.68,156.12,32.18,9.33
Padang,20,ID,1553302800,83,-0.92,100.36,80.6,1.12
Bukachacha,20,RU,1553305252,43,52.99,116.91,24.35,4.63
Aksu,0,KZ,1553302800,100,52.04,76.93,23.0,4.47
Krasnovishersk,0,RU,1553305253,71,60.4,57.08,15.98,2.84
Beringovskiy,76,RU,1553305134,90,63.05,179.32,7.43,29.01
Verkhoyansk,32,RU,1553305253,58,67.55,133.39,4.28,3.74
Iranshahr,8,IR,1553305253,74,27.21,60.69,56.12,2.51
Grimshaw,75,CA,1553302800,46,56.19,-117.61,50.0,3.36
Ahipara,68,NZ,1553305253,73,-35.17,173.16,73.04,5.08
Khudumelapye,0,BW,1553305253,60,-23.91,24.95,68.27,16.04
Yumen,32,CN,1553305254,48,40.29,97.04,39.92,2.84
Sosnogorsk,88,RU,1553305254,91,63.59,53.93,29.12,4.18
Grand-Santi,0,GF,1553305254,82,4.27,-54.38,76.64,4.41
Alta Floresta,64,BR,1553305254,92,-9.87,-56.08,77.18,1.72
Vysokogornyy,48,RU,1553305254,52,50.1,139.13,13.82,3.96
Yellowknife,75,CA,1553305184,74,62.45,-114.38,28.4,11.41
Sabang,48,PH,1553305165,77,13.72,123.58,82.58,8.99
Gravdal,92,NO,1553305210,75,59.79,5.78,44.6,21.92
Provideniya,92,RU,1553305255,100,64.42,-173.23,15.62,13.02
Kendari,20,ID,1553305255,88,-3.99,122.52,85.64,3.74
Vao,48,EE,1553305255,83,59.1,26.19,25.61,8.32
Sorong,32,ID,1553305243,100,-0.86,131.25,82.13,6.31
Ontario,1,US,1553305251,55,34.07,-117.65,66.2,11.41
Kalmunai,0,LK,1553305072,84,7.42,81.82,82.94,4.18
Kerman,0,IR,1553302800,65,30.29,57.06,41.0,4.7
Chumikan,0,RU,1553305256,52,54.72,135.31,15.53,8.99
General Pico,0,AR,1553305256,71,-35.66,-63.75,62.69,12.24
Belaya Gora,0,RU,1553305256,93,68.54,146.19,-1.94,4.18
Turbat,32,PK,1553305257,72,26.0,63.05,64.4,2.95
Bolobo,76,CD,1553305257,100,-2.17,16.23,70.88,2.73
Mehamn,88,NO,1553305257,87,71.03,27.85,31.91,20.96
